CLCLIE;CLNOM;CLPTT
AN008;ANTICA;83310
AN009;ANTOINE RISSO COLLEGE;06300
AN015;ANGLE DROIT;13009
AN016;ANGERVILLE L'EXPERT FENETRE;13510
AN019;ANTALIOS;13008
AN020;ANGOSTO SARL;84200
AN021;ETS ANDRIOLLO;26130
AN022;ANTENNE & AUTOMATISME PROVENCE;13012
AN023;L'ANGLE;83130
AN024;ANGLES QUINCAILLERIE;12850
AN025;ANDRE MALRAUX COLLEGE;06800
AN026;ANTIBES SERRURES;06600
AN028;ANTICH;93140
AN029;ANDRA ASCENSEURS;94600
AN030;ANSELMO SA;93141
AN031;ANCA CONSTRUCTIONS;20140
AN032;ANGE INDUSTRIES;13009
AO002;AON FRANCE DMGI;75717
AP003;API PROVENCE;83300
AP004;APTAPRO;84400
AP005;APSA;13650
AP006;APT AUTOMATISMES SARL;84400
AP007;AP POSE;13170
AP011;APSF S.A.R.L;13004
AP012;API CONTROL S.A.R.L;13800
AP015;APS - AZUR POSE SERVICE;06250
AP016;APTIS;13420
AP017;APM MENUISERIE;13360
AP018;AP ALUMINIUM;34430
AP020;ALUMINIUM PVC STORES SARL;13580
AP021;APR;13016
AP022;APS 13;04230
AP024;APM ALPES PROVENCE MENUISERIES;04510
AP026;APL AGENCE PATRICK LOZIER;04100
AP027;APEPS ASSOCIATION;13011
AP030;1.2.3 APPEL URGENCE SERR.83;83330
AP031;APB SUD OUVERTURES SARL;83460
AP032;APAL SARL;34800
AP033;A PLUS SOLUTIONS;13013
AP035;APN AUTOMATION;06514
AP036;APM ASCENSEURS;06100
AP038;APROLAB;13015
AP039;AP CONSEILS;83270
AP040;APCAR;13015
AP041;APRONEF;13002
AP042;APAVE SUDEUROPE;13322
AP043;APAVE SUDEUROPE SAS;33370
AP045;APME;13320
AP046;APL;92120
AP047;A.P.R.O.P.O;34430
AP048;APS FERMETURES;13015
AP049;AP13 MENUISERIE;13170
AP050;AP PRODUCTION;33565
AP051;API 84;84911
AQ004;A4 SARL;34290
AR001;ARNOUX SOCIETE;13400
AR002;ARTBOIS MENUISERIES;13590
AR003;L'ARTISAN AIXOIS;13100
AR004;ARCHITEC'ALU;20620
AR005;1D6;83800
AR006;ARMONY DESIGN;13400
AR007;ARTBM AGENCE REGIONAL TECH BUR;13190
AR008;ARTS DE VATEL;13012
AR009;ARSE (ACTION RENOVAT SUD EST);83330
AR010;ARD;05000
AR011;ARCHI TECH RENOV;13009
AR012;ARTECHPVC;20167
AR013;ARTISANALES SOCIETE;13011
AR014;ARTESIA SARL;13008
AR015;ARBONA YVES;06100
AR019;ARC ROCABERTI CEDRIC;83460
AR020;MONSIEUR ARMANINI;06300
AR021;ARGOS;83520
AR022;ARC EN CIEL;13126
AR023;ARV - MENUISERIE;13005
AR026;ARKOS BATIMENT;13330
AR028;ART CHI;13006
AR030;ARROWS TECHNOLOGIES;13009
AR031;ARI - INSTITUT LES BASTIDES;13011
AR035;ART ET TECHNIQUE DE LA VILLA;13701
AR036;ARTISAN CONCEPT SERRURERIE;34130
AR039;ETS ARNAUD ROBERT;04000
AR040;ARI - INSTITUT LES BORIES;13400
AR043;ARCADE HABITAT MEDITERRANEE;83600
AR045;ART DECO SARL;13011
AR046;AR CONSTRUCTION;13124
AR047;ARY;13400
AR048;A.R.V;13120
AR049;ARTS ET LOISIRS GESTION SARL;13470
AR050;AREA;13331
AR051;ARCALENI-MORENO;06400
AR055;ARTI-BAT;13015
AR056;ART ALU AUTOMATISMES;83260
AR057;ART FERRONNERIE;30380
AR058;ARGENS ALU;83490
AR059;ART GLASS;13852
AR060;ART ET VERANDA;13124
AR061;ART DOMUS;13011
AR063;ARA;11430
AR064;ARC INDUSTRIE;83470
AR066;AREAL;13594
AR067;ARG;13400
AR068;ARTAUD JEAN-LOUIS;13410
AR071;ARADOS INTERNATIONAL;13011
AR073;ARIBAT;13007
AR074;ARTERO A VOTRE SERVICE;13011
AR075;ARKEMA FRANCE;69494
AR076;ARTIS FERRUM;83870
AR077;A.R.T.;13860
AR078;ARTI POSE;13015
AR079;L'ART NOUVEAU;06300
AR080;ART AMENAGEMENT;83600
AR081;ART DESIGN ALUMINIUM;06000
AR082;FERRONNERIE ARRAIS;83870
AR083;HOPITAL PRIVE ARNAULT TZANCK;06254
AR084;AR FRA TEC;93100
AR085;ARTM;95320
AR086;ARR DECO;91340
AR087;ARTEIS;93360
AR088;ARAMON;78260
AR089;ART ET DESIGN MENUISERIE;13430
AR091;A R P E;13011
AR092;ART ET MIROITERIE;34770
AR093;SARL ART BATIMENT;13014
AR094;ARTUS;13790
AR095;ART METAL SARL;13400
AR096;ARAIMC CENTRE SAINT THYS;13010
AR097;ARTECH ELEC;13880
AS002;ASSISTANCE PACA DEPANNAGE;13011
AS003;ASSOCIATION SAAG LE MOULIN;13013
AS004;AS FERMETURE;83830
AS005;ASSOCIATION YAVNE;13013
AS006;ASTELIER DE L HABITAT;30140
AS007;ADS 13 ASSIST DEPAN SERRURERIE;13010
AS008;AS DU BOIS;20137
AS010;ASEP 13;13010
AS011;ASV DEPANNAGES;13008
AS012;ASP ALU SERRURERIE DE PROVENCE;13270
AS013;POLE EMPLOI;13010
AS015;ASCO;34800
AS020;ASSOC LE MOULIN D'ENTRAIGUES;84320
AS022;ASAP FERMETURES;13290
AS023;ASAP BATIMENT;13290
AS024;ASSE ENTRPRISE;06600
AS025;PACA ASCENSEURS SERVICES;13170
AS026;A 34 SARL;34902
AS027;ASUD ASCENSEURS;06800
AS028;ASSA ABLOY FRANCE;10304
AS029;ASP;84250
AS031;ASSISTANCE DISTRIBUT° SOUDAGE;06550
AS032;ASSISTANCE ET SERVICES SARL;13854
AS039;AS BATIMENT;13005
AS040;AS PRO;30000
AS042;ASSIST. SERVICE INTERVENTION;13800
AS044;ASPTT MARSEILLE;13295
AS045;ASM;13124
AS046;ASSISTANCE ARTISANS;13009
AS048;ASSOCIATION OEUVRE DU CALVAIRE;13248
AS049;ASCO;34800
AS050;AS BOISERIES;13320
AS051;AST;13003
AS052;ASV SARL;83980
AS053;ASSISTANCE CANNAT DEPANNAGE;13006
AS054;A.S.M;34130
AS055;ASSOC ORIA MULTI ACCUEIL CRECH;13004
AS056;AS CONCEPT;34130
AS057;AS PROVENCE  SFAC;13008
AS058;AS DU BATIMENT;13003
AS059;ASC ELECTRIQUE;66240
AS060;ASSET SECURITE;91400
AS061;CONVERGINT TECHNOLOGIES FRANCE;77183
AS062;A.N.G.;94520
AS063;ASSOCIATION 42;75017
AS064;AS ASCENSEURS SERVICES;75020
AS065;2ASC IMMOBILIER;95410
AS066;ASSEMBLEE NATIONALE;75007
AS067;AS PROTECTION;13008
AS068;AMENZOU-TEST-16254 SOUFYAN-TES;13008
AS069;ARM ASSEMBLAGE RAYONNAGE MANUT;13830
AS070;ASSYSTEM NOUVELLE CALEDONIE;98874
AS071;ASTUCE;13005
AS072;ASSE GLASS;06600
AT001;ATELIER DU BOIS;13922
AT002;ATF;13015
AT005;ATEC;13400
AT006;ATELIERS DU BOIS;98000
AT007;ATCMS;13006
AT008;ATOUTSERRURE;31190
AT009;ATREM;13004
AT012;ATE;13012
AT014;ATELIER PHOCEEN SARL;13740
AT016;ATF S.A.R.L;13007
AT017;ATOUT S.A.R.L;13270
AT019;ATILA;13016
AT022;ATCA;06730
AT023;ATS;20700
AT024;ATMANI KHOUDIR;13009
AT031;ATMOSPHERE;34990
AT033;TRADIBOIS;13640
AT035;SARL AIR MARIN ATELIER PLUS;13012
AT037;SARL ATEI;13127
AT039;ATOUTPOSE;13011
AT040;ATEC;13013
AT042;ATELIER 108;13400
AT043;ATELIER DES REMPARTS;84120
AT046;ATELEC;13014
AT047;ATLM PVC;13112
AT048;ATOLE;34160
AT049;ATP MENUISERIE;13600
AT052;ATELIER DU BOIS;06100
AT053;ATA;13010
AT054;A2T FERMETURES;83860
AT055;ATELIER GILLES ROLAN;13200
AT057;A TOUT POSE SERVICE;13004
AT058;ATELIER CASA;13124
AT059;ATELIER ST LUC;34200
